"INV109771","WH324082","Supreme Warehouse","Fulfillment Center","3","Chennai","Tamil Nadu","PROD118632","Nescafe Roasted Coffee 200g Pouch","Nescafe","4","Beverages","Coffee","50","3","84","47","20260623","2026-06-23","20260629","2026-06-29","Low Stock"
"INV116703","WH205907","Nova Supply Hub","Fulfillment Center","4","Bengaluru","Karnataka","PROD118632","Nescafe Roasted Coffee 200g Pouch","Nescafe","4","Beverages","Coffee","105","1","158","104","20260522","2026-05-22","20260721","2026-07-21","Low Stock"
"INV130961","WH930555","Silver Distribution Hub","Regional Distribution Center","2","Ahmedabad","Gujarat","PROD118632","Nescafe Roasted Coffee 200g Pouch","Nescafe","4","Beverages","Coffee","351","19","242","332","20260203","2026-02-03","20260707","2026-07-07","Normal"
"INV175889","WH740967","Velocity Logistics Center","Regional Distribution Center","7","Pune","Maharashtra","PROD118632","Nescafe Roasted Coffee 200g Pouch","Nescafe","4","Beverages","Coffee","362","43","141","319","20260412","2026-04-12","20260428","2026-04-28","Normal"
"INV210396","WH422451","Elite Operations Hub","Fulfillment Center","8","Mumbai","Maharashtra","PROD118632","Nescafe Roasted Coffee 200g Pouch","Nescafe","4","Beverages","Coffee","103","13","129","90","20260316","2026-03-16","20260401","2026-04-01","Low Stock"
"INV298686","WH801474","Rapid Warehouse","Fulfillment Center","3","Chennai","Tamil Nadu","PROD118632","Nescafe Roasted Coffee 200g Pouch","Nescafe","4","Beverages","Coffee","84","2","138","82","20260529","2026-05-29","20260719","2026-07-19","Low Stock"
"INV302139","WH519066","Golden Logistics Park","Fulfillment Center","8","Mumbai","Maharashtra","PROD118632","Nescafe Roasted Coffee 200g Pouch","Nescafe","4","Beverages","Coffee","171","5","246","166","20260226","2026-02-26","20260325","2026-03-25","Low Stock"
"INV305096","WH377746","Supreme Distribution Park","Regional Distribution Center","9","New Delhi","Delhi","PROD118632","Nescafe Roasted Coffee 200g Pouch","Nescafe","4","Beverages","Coffee","220","50","210","170","20260209","2026-02-09","20260608","2026-06-08","Normal"
"INV319240","WH274389","Metro Supply Center","Fulfillment Center","4","Bengaluru","Karnataka","PROD118632","Nescafe Roasted Coffee 200g Pouch","Nescafe","4","Beverages","Coffee","260","15","167","245","20251226","2025-12-26","20260131","2026-01-31","Overstocked"
"INV335404","WH539589","Blue Distribution Park","Regional Distribution Center","2","Ahmedabad","Gujarat","PROD118632","Nescafe Roasted Coffee 200g Pouch","Nescafe","4","Beverages","Coffee","81","6","212","75","20250831","2025-08-31","20260506","2026-05-06","Normal"
"INV336159","WH816751","Silver Supply Hub","Regional Distribution Center","2","Ahmedabad","Gujarat","PROD118632","Nescafe Roasted Coffee 200g Pouch","Nescafe","4","Beverages","Coffee","318","23","245","295","20251015","2025-10-15","20251022","2025-10-22","Slow Moving"
"INV338442","WH832052","Central Warehouse","Regional Distribution Center","4","Bengaluru","Karnataka","PROD118632","Nescafe Roasted Coffee 200g Pouch","Nescafe","4","Beverages","Coffee","55","16","157","39","20260212","2026-02-12","20260310","2026-03-10","Low Stock"
"INV350202","WH429164","Horizon Zone Center","Regional Distribution Center","2","Ahmedabad","Gujarat","PROD118632","Nescafe Roasted Coffee 200g Pouch","Nescafe","4","Beverages","Coffee","551","98","202","453","20260214","2026-02-14","20260318","2026-03-18","Normal"
"INV381147","WH654634","Rapid Zone Center","Fulfillment Center","9","New Delhi","Delhi","PROD118632","Nescafe Roasted Coffee 200g Pouch","Nescafe","4","Beverages","Coffee","786","120","214","666","20260429","2026-04-29","20260722","2026-07-22","Slow Moving"
"INV393591","WH808011","West Distribution Hub","Fulfillment Center","7","Pune","Maharashtra","PROD118632","Nescafe Roasted Coffee 200g Pouch","Nescafe","4","Beverages","Coffee","257","72","202","185","20260426","2026-04-26","20260618","2026-06-18","Overstocked"
"INV437488","WH329974","Pioneer Distribution Park","Regional Distribution Center","13","Coimbatore","Tamil Nadu","PROD118632","Nescafe Roasted Coffee 200g Pouch","Nescafe","4","Beverages","Coffee","370","105","109","265","20260221","2026-02-21","20260406","2026-04-06","Slow Moving"
