"SHP0001367","PO632056","SUP260422","Pandit Khosla Wholesale","Tier 3","WH482364","Prime Storage Hub","11","Ghaziabad","Uttar Pradesh","12","Blue Dart","Rail","20260317","2026-03-17","20260325","2026-03-25","20260325","2026-03-25","TRK203983146","506","2","0","Delivered","8017.20","1","15.844269",\N,\N,\N,\N,\N,\N
"SHP0001499","PO832411","SUP804318","Pillay Solanki Industries","Tier 3","WH642717","Elite Supply Center","4","Bengaluru","Karnataka","12","Blue Dart","Rail","20260603","2026-06-03","20260622","2026-06-22","20260622","2026-06-22","TRK122771813","799","5","0","Delivered","14621.46","1","18.299700",\N,\N,\N,\N,\N,\N
"SHP0001738","PO148439","SUP668532","Bal Muni Traders","Tier 3","WH781453","Unity Supply Center","1","Noida","Uttar Pradesh","12","Blue Dart","Rail","20260723","2026-07-23","20260803","2026-08-03","20260803","2026-08-03","TRK694217022","1640","8","0","Delivered","29305.87","1","17.869433",\N,\N,\N,\N,\N,\N
"SHP0003217","PO685701","SUP519904","Rattan Chandran Supplies","Tier 2","WH274389","Metro Supply Center","4","Bengaluru","Karnataka","12","Blue Dart","Rail","20260206","2026-02-06","20260219","2026-02-19","20260219","2026-02-19","TRK892301737","2150","5","0","Delivered","39086.37","1","18.179707",\N,\N,\N,\N,\N,\N
"SHP0003454","PO736032","SUP121753","Chaudhry Sachdev Industries","Tier 3","WH262316","Summit Logistics Park","8","Mumbai","Maharashtra","12","Blue Dart","Rail","20251123","2025-11-23","20251204","2025-12-04","20251204","2025-12-04","TRK724796079","840","6","0","Delivered","14749.89","1","17.559393","31.0000","66.000000","28","7.0000","Sunny","Normal"
"SHP0003656","PO704555","SUP302511","Banik Biswas Wholesale","Tier 3","WH824586","Rapid Logistics Park","11","Ghaziabad","Uttar Pradesh","12","Blue Dart","Rail","20251228","2025-12-28","20260115","2026-01-15","20260115","2026-01-15","TRK170070955","673","5","0","Delivered","11234.47","1","16.693120","11.0000","73.000000","0","5.0000","Fog","Moderate"
"SHP0003864","PO424356","SUP221263","Parmer Merchant Wholesale","Tier 3","WH100425","Summit Inventory Center","8","Mumbai","Maharashtra","12","Blue Dart","Rail","20251109","2025-11-09","20251201","2025-12-01","20251201","2025-12-01","TRK806115507","1330","8","0","Delivered","25194.85","1","18.943496","25.0000","66.000000","2","16.0000","Cloudy","Normal"
"SHP0004218","PO616140","SUP668532","Bal Muni Traders","Tier 3","WH322086","Titan Supply Center","10","Lucknow","Uttar Pradesh","12","Blue Dart","Rail","20260429","2026-04-29","20260511","2026-05-11","20260511","2026-05-11","TRK720212314","1003","4","0","Delivered","18503.22","1","18.447876",\N,\N,\N,\N,\N,\N
"SHP0006270","PO135279","SUP437408","Saha Rege Distributors","Tier 2","WH820221","Supreme Supply Hub","1","Noida","Uttar Pradesh","12","Blue Dart","Rail","20260501","2026-05-01","20260516","2026-05-16","20260516","2026-05-16","TRK443050925","941","4","0","Delivered","17533.78","1","18.633135",\N,\N,\N,\N,\N,\N
"SHP0006426","PO876124","SUP391668","Gill Sahni Distributors","Tier 2","WH519066","Golden Logistics Park","8","Mumbai","Maharashtra","12","Blue Dart","Rail","20251127","2025-11-27","20251210","2025-12-10","20251210","2025-12-10","TRK200519719","1190","5","0","Delivered","18167.45","1","15.266765","30.0000","66.000000","6","11.0000","Sunny","Normal"
